Num,Id,Upload Date,Price,Bedrooms/sqr-ft,Location,Contact
1,7139618035,Jul  8,$1100,3br-,"(snj > Glassboro, NJ)",
3,7139619015,Jul  8,$1000,3br-,"(snj > Glassboro, NJ)",
9,7151499974,Jul 29,$950,3br-1900ft2-,"(snj > Glassboro, NJ)",
10,7151739378,Jul  1,$1750,3br-,(njy > Glassboro NJ),
11,7153542432,Jul  8,$850,3br-,"(snj > 27 BEAU RIVAGE DR, GLASSBORO, NJ)",
12,7154497579,Jul  6,$1250,2br-900ft2-,(snj > GLASSBORO),
13,7154932110,Jul  7,$950,2br-1156ft2-,"(snj > Mckinley Ave, Glassboro, NJ)",
14,7155449283,Jul 24,$1199,2br-1000ft2-,(snj > Glassboro),
15,7155915530,Jul 24,$850,3br-,"(snj > 27 BEAU RIVAGE DR, GLASSBORO, NJ)",
16,7157735106,Jul 11,$850,3br-,"(snj > 27 BEAU RIVAGE DR, GLASSBORO, NJ)",
17,7159493289,Jul 14,$850,3br-,"(snj > 27 BEAU RIVAGE DR, GLASSBORO, NJ)",
18,7163232255,Jul 21,$800,3br-,"(snj > Glassboro, NJ)",
19,7164808011,Jul 23,$2000,5br-,(snj),
20,7170680305,Aug  3,$1500,3br-,(snj > GLASSBORO),
21,7167614063,Jul 28,$999,1br-627ft2-,(snj > GLASSBORO),
22,7159954048,Jul 27,$2000,3br-1600ft2-,(snj > Glassboro),
23,7139780388,Jul 10,$1000,3br-1887ft2-,(snj > Glassboro),
24,7163861117,Jul 22,$1000,1br-850ft2-,(snj > Glassboro),
25,7163865358,Jul 31,$3400,5br-,"(snj > Glassboro, NJ)",
26,7170806795,Aug  6,$825,1br-,(snj > Glassboro),
27,7172263651,Aug  5,$3000,3br-2000ft2-,(snj > Glassboro),
28,7160494120,Jul 16,$1400,2br-1300ft2-,(snj > Glassboro),
29,7167830985,Aug  4,$1100,2br-998ft2-,(snj > Glassboro),
